DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year,in db search?,previous decision,final eligibility,deduplicate,add_to _inventory,reason,notes
10.1108/jcre-12-2012-0031,,,Green performs better: energy efficiency and financial return on buildings,"Purpose ?€? The purpose of this paper is to investigate the effect of energy consumption on the financial performance of German residential buildings in a large panel framework. The authors provide evidence that energy efficiency in the residential sector is a relevant factor affecting both tenant investment decisions and consequently the performance of investor portfolios.Design/methodology/approach ?€? Based on the IPD Database and information from the German statistical office, the authors create portfolios of buildings across several energy consumption levels in order to describe the energy pricing mechanism in the context of total return and rent price. Furthermore, the authors apply conditional and unconditional regressions over the period of 2008 and 2010, to accurately quantify the energy price premium in the German residential market.Findings ?€? The descriptive portfolio results show that energy?€?efficient buildings yield an up to 3.15 percent higher return and 0.76???/m2 higher rent than inefficient bu...","Marcelo Cajias,Daniel Piazolo",Journal of Corporate Real Estate,2013,0,,1,1,1,,'define building energy consumption into seven categories following Swiss Norm SIA 2031'
10.1016/j.enpol.2013.11.054,,,The influence of the Energy Performance Certificate: The Dutch case,"All European Union Member States require an Energy Performance Certificate (EPC) when buildings are constructed, sold and rented. At its introduction the EPC was considered a pioneering instrument, one that would help overcome an information deficit hindering consumer interest in energy efficient dwellings. Now that the EPC has been implemented for several years it is possible to examine its impact. This research draws on data from ex-ante and ex-post assessments of the EPC in a number of countries and presents the results of a survey of Dutch private dwelling purchasers. This survey was based on two sample populations, one received an EPC during property transaction and another did not. Differences were sought between the two samples in a number of areas relating to the adoption of energy efficiency measures. Results show that many projections about the impact of the EPC have fallen short. The EPC was found to have a weak influence, especially pre-purchase. The potential of the EPC in driving energy efficiency improvement in the existing stock is doubted especially if it continues to act independent from a mix of instruments designed to tackle multiple barriers. It is argued that the energy saving potential of existing dwellings, applauded in climate change policy, will remain unexploited if it continues to be assessed subjectively by householders.",Lorraine Murphy,Energy Policy,2014,0,,0,,0,out of scope,not price effect
10.1016/j.enpol.2012.01.064,,,The impact of energy performance certificates: A survey of German home owners,"The building sector accounts for about 40% of the final energy consumption in Germany. At the same time, the sector is regarded as one of the most cost-effective options for saving CO2 emissions. To target this potential, the European Union introduced energy performance certificates (EPC). EPCs should provide clear information about the energy performance of buildings to building purchasers, owners and tenants. This study analyses, in how far EPCs have helped purchasers of owner-occupied dwellings in Germany to incorporate energy efficiency in their purchasing decisions. The results suggest that the effectiveness of EPCs is limited. Main reasons are first, that the certificates are not helpful for understanding the financial implications of energy efficiency. Second, EPCs are not viewed for most buildings due to their legal status. Third, energy efficiency is only a minor purchasing criterion for dwelling purchases. The results of the study however also point to the potential of EPCs, as these barriers can be removed. From 2013 onwards the use of the EPC will be increased due to the new EU Energy Performance of Buildings Directive (EPBD). Changes to the design of the EPC could further increase the importance of energy performance certificates and of energy efficiency.",Hermann Amecke,Energy Policy,2012,0,,0,,0,out of scope,stated preference (survey on WTP)
10.1086/260169,,,Hedonic Prices and Implicit Markets: Product Differentiation in Pure Competition,"A class of differentiated products is completely described by a vector of objectively measured characteristics. Observed product prices and the specific amounts of characteristics associated with each good define a set of implicit or ""hedonic"" prices. A theory of hedonic prices is formulated as a problem in the economics of spatial equilibrium in which the entire set of implicit prices guides both consumer and producer locational decisions in characteristics space. Buyer and seller choices, as well as the meaning and nature of market equilibrium, are analyzed. Empirical implications for hedonic price regressions and index number construction are pointed out.",Sherwin Rosen,Journal of Political Economy,1974,0,,0,,0,early paper; US,"earlier paper on hedonic prices (Rosen, 1974)"
10.1108/jcre-12-2012-0031,,,Green Performs Better: Energy Efficiency and Financial Return on Buildings,"This study investigates the effect of energy consumption on the financial performance of residential buildings in a large panel framework. Based on prior European studies regarding the use of energy performance certificates (EPCs), we analyse whether the responsible use of energy leads to a significant price differentiation between 2008 and 2010. Based on the IPD Databank and the German statistical office, our descriptive portfolio results show that energy efficient buildings have an up to 3.15% higher return and 0.76 ???/m?? higher rent prices than inefficient assets. Furthermore, (un-) conditional regression results provide evidence that one percent decline in energy consumption affects the total return of buildings positively by 0.015%, all else equal. The hedonic results additionally show that one percent energy conservation boosts rent prices by 0.08% and market value by 0.45%. Overall, our study presents alternative methodologies when describing and estimating hedonic data and offers the first empirical evidence of the energy price premium in German residential markets.","Marcelo Cajias,Daniel Piazolo",Journal of Corporate Real Estate,2013,0,,1,1,0,,'define building energy consumption into seven categories following Swiss Norm SIA 2031'
,,,Valuing Green Home Designs: A Study of ENERGY STAR?? Homes,"A number of researchers have attempted to isolate the incremental effect of energy efficiency on home value; however, few studies have benefited from the availability of a comprehensive and continuous indicator of home energy efficiency such as the ENERGY STAR?? program. This case study builds on past research by comparing original sale prices between ENERGY STAR qualified homes and non-ENERGY STAR qualified homes in Fort Collins, Colorado. Sale prices were analyzed using hedonic regression analysis. Results indicate that ENERGY STAR homes originally sold for $8.66 more per square foot than non-ENERGY STAR homes.","Bryan Bloom,MaryEllen C. Nobe,Michael D. Nobe",,2012,0,,0,,0,not Europe,USA
,,,The Increasing Value of Green for Residential Real Estate,"Research has documented a premium for housing with green amenities, on average, over sample periods. Given the increasing efficiency of green features and growing awareness of the environmental con...","Ramya Rajajagadeesan Aroul,Mauricio Rodriguez",,2018,0,,0,,0,not Europe,USA
10.1016/0140-9883(89)90026-1,,,Energy labels and economic search: An example from the residential real estate market,"Abstract   Home energy rating systems are popular and widely used programmes to encourage energy efficiency in the residential housing market. With the actual rating perhaps conveyed to prospective buyers as a posted label, these rating systems offer a variety of benefits. This paper focuses on the ability of these systems to help buyers identify more quickly the properly priced house. An economic search model is applied to a unique sample of energy-efficient homes in Minnesota. The search benefits are modest but positive in our case study, but could be larger in a more diverse housing market.",Robert W. Gilmer,Energy Economics,1989,0,,0,,0,out of scope,early paper
10.1108/14725961311301457,,,Effect of green labelling on residential property price: a case study in Hong Kong,"Purpose ?€? It is known that people's expectation towards their living ?€?green?€? is increasing. Green features are now regarded as one of the important considerations of buyers in purchasing a property. This research paper aims to investigate the significance of the green features of residential buildings to property buyers.Design/methodology/approach ?€? HK?€?BEAM certification and HK?€?GBC Award are used as the measurement of green residential buildings. The study used a hedonic price model to determine whether there is a relationship between green features and residential property price and the influence of green features on the residential property price if there is such relationship.Findings ?€? The empirical results show that green features have a significant and positive relationship with residential property price. People are willing to pay more for green buildings recognized by HK?€?BEAM and HK?€?GBC. They are willing to pay a sale price premium ranging from 3.4 percent to 6.4 percent. Furthermore, a relatively ...","Wadu Mesthrige Jayantha,Wan Sze Man",Journal of Facilities Management,2013,0,,0,,0,not Europe,HK
,,,Green mark certification: does the market understand?,"A corollary to the green building revolution is the certification of green buildings by relevant organizations. The pertinent question is whether the market understands the certification. The paper addresses the issue via a quantitative (hedonic model) and psychographic (survey) study of the Singapore residential green building market. The results reveal that green certification commands a statistically significant premium. However, the market is confused by the different tiers of certification as evidenced by incommensurate premia for the different tiers. Furthermore, the fact that the premium varies with tenure (freehold/ leasehold) and location after controlling for all other attributes may imply that the premium may not be solely attributable to green certification.","Kwame Addae-Dapaah,Kwame Addae-Dapaah,Su Jen Chieh",,2012,0,,0,,0,not Europe,singapore
