eligiblility,notes,additional notes,Authors,Title,Volume,Issue,Source,Start page,End page,DOI,URL
1,not sure; measuring price risk reduction when improving energyefficiency,,"Tuominen, P., Sepp??nen, T.",Estimating the value of price risk reduction in energy efficiency investments in buildings,10,10,Energies,,,10.3390/en10101545,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044463823&doi=10.3390%2fen10101545&partnerID=40&md5=1fccfd28b852df1a1e5054458d89943e
0,,,"Ferrari, D; Guthrie, K; Ott, S; Thomson, R",Learning from interventions aimed at mainstreaming solar hot water in the Australian market,30,,1ST INTERNATIONAL CONFERENCE ON SOLAR HEATING AND COOLING FOR BUILDINGS AND INDUSTRY (SHC 2012),1401,1410,10.1016/j.egypro.2012.11.154,http://dx.doi.org/10.1016/j.egypro.2012.11.154
0,,,"Lester, T William",Dedicating new real estate transfer taxes for energy efficiency: A revenue option for scaling up Green Retrofit Programs,62,,Energy Policy,809,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1440136148?accountid=14540&bdid=29236&_bd=W9CODUihylEJI%2FTMGc1B6ZeFoEo%3D
1,not sure; the source of energy rating,,"de Ayala, A; Galarraga, I; Spadaro, JV",The price of energy efficiency in the Spanish housing market,94,,ENERGY POLICY,16,24,10.1016/j.enpol.2016.03.032,http://dx.doi.org/10.1016/j.enpol.2016.03.032
0,,,"Burlinson, A; Giulietti, M; Battisti, G",The elephant in the energy room: Establishing the nexus between housing poverty and fuel poverty,72,,ENERGY ECONOMICS,135,144,10.1016/j.eneco.2018.03.036,http://dx.doi.org/10.1016/j.eneco.2018.03.036
0,not house price,,"Brounen, Dirk; Kok, Nils; Quigley, John M",Residential energy use and conservation: Economics and demographics,56,5,European Economic Review,931,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1021198344?accountid=14540&bdid=29236&_bd=Og3RdaO3c6Yql3rgPSZwDD1CG1M%3D
0,insulation material,,"Iqbal, A; Mubin, S; Gavrishyk, E; Masood, R; Roy, K; Moradibistouni, M",A Comparative Performance Analysis of Different Insulation Materials Installed in a Residential Building of a Cold Region in Pakistan,6,6,JOURNAL OF COMPOSITES SCIENCE,,,10.3390/jcs6060165,http://dx.doi.org/10.3390/jcs6060165
0,,,"Liu, C., Thanarungroj, P., Gaudiot, J.-L.",How many cores do we need to run a parallel workload: A test drive of the Intel SCC platform?,74,7,Journal of Parallel and Distributed Computing,2582,2595,10.1016/j.jpdc.2013.12.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901593493&doi=10.1016%2fj.jpdc.2013.12.011&partnerID=40&md5=6c31203a0be636cb74fd4cce9175ff98
0,,,"Grabowski, L., Sobek, M., Baier, A.","CFD analysis of a hybrid, Darrieus-Savonius, horizontal wind turbine, using static and moving mesh",591,1,IOP Conference Series: Materials Science and Engineering,,,10.1088/1757-899X/591/1/012049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072102863&doi=10.1088%2f1757-899X%2f591%2f1%2f012049&partnerID=40&md5=637827920c95c2149e83b7b808495706
0,wider literature,low income renter,"Seebauer, S",How to make building renovation work for low-income renters: Preferences for distributional principles and procedural options in Austria,82,,ENERGY RESEARCH & SOCIAL SCIENCE,,,10.1016/j.erss.2021.102270,http://dx.doi.org/10.1016/j.erss.2021.102270
0,not Europe,,"Garc??a-Alvarado, R., Campos, P.G.","A tool for the assessment of energy-efficiency retrofit packages based on simulations, for single-family housing in Concepcion, Chile",12,3,Energy Efficiency,619,636,10.1007/s12053-018-9655-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062644106&doi=10.1007%2fs12053-018-9655-3&partnerID=40&md5=d6b217584e371b730a59661404940b5b
0,,,"Popescu, G., Popescu, V.A., Popescu, C.R.",Research for defining the standards and identifying the opportunities for increasing the role of the green it in the context of improving the global economy management and monitoring,14,SPEC. ISS. 8,Metalurgia International,48,53,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68949101650&partnerID=40&md5=4ea6bbdf1ecf3bf6fdb8b16cf7e28392
0,other branch ,life cycle assessment,"Lawania, K., Biswas, W.K.",Application of life cycle assessment approach to deliver low carbon houses at regional level in Western Australia,23,2,International Journal of Life Cycle Assessment,204,224,10.1007/s11367-017-1314-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018358063&doi=10.1007%2fs11367-017-1314-y&partnerID=40&md5=b567dfe0a632c3d1b61b7aef6c329689
