model_id,paper_id,Reference,gen_title,gen_pub_year,gen_publisher,geog_country,geog_scale,time_start,time_end,time_span,rd_1,rd_2,data_sample_size,data_ht_1,data_ht_2,data_pt,data_tenure,var_ee_aspect,var_ee_scale,var_ee_time,meth_model,spatial_matrix,meth_loc,meth_spatial_inter,meth_tem,functional_form,res_broad,var_hp,var_all,var_structural,var_neighborhood,var_quality,pp_score,pp_band_a,pp_band_b,pp_band_c,pp_band_d,pp_band_e,pp_band_f,pp_band_g,diff_rd_flag,diff_rd_tag,diff_pp_flag,pp_other,pp_other_explain,r2
1,1,"McCord et al., 2020(a)",A spatial analysis of EPCs in The Belfast UrbanArea housing market,2020,Journal of Property Research,United Kingdom,Urban,2013q3,2014q3,1.25,Observational,Cross-sectional,1478,all ,all ,transaction,sales,EER,Score,Current,GWR,,Yes,Yes,Yes,semi-log,depends,log price ,"size, property type (terrace/detach/apartment), age (pre1919/early modern/inter war), garage, gas heat",Yes,No,No,0.0023,,,,,,,,0,,0,,,0.715
2,1,"McCord et al., 2020(a)",A spatial analysis of EPCs in The Belfast UrbanArea housing market,2020,Journal of Property Research,United Kingdom,Urban,2013q3,2014q3,1.25,Observational,Cross-sectional,961,all ,all ,transaction,sales,EER,Score,Current,SLM,,Yes,Yes,Yes,semi-log,depends,log price ,"size, property type (terrace/detach/apartment), age (pre1919/early modern/inter war), garage, gas heat",Yes,No,No,0.0012,,,,,,,,0,,0,,,0.67
3,2,"Morano et al., 2020",An Analysis of the Energy Efficiency Impacts on the Residential Property Prices in the City of Bari (Italy),2020,Values and Functions for Future Cities?(book),Italy,Urban,2016,2017,2,Observational,Cross-sectional,200,all ,all ,transaction,sales,EER,Band,Current,EPR,,Yes,No,No,semi-log,positive,log price ,"size, age, number of bathrooms, floor number, lift, parking, maintenance condition (dummy), distance to highway, distance to subway, municipal trade area (some variables are excluded in final selected model)",Yes,Yes,Yes,,0.2794,hold-out,hold-out,hold-out,hold-out,hold-out,-0.2644,1,EPR,1,,,0.714
4,3,"McCord et al., 2020(b)",An exploratory investigation into the relationship between energy performance certificates and sales price: a polytomous universal model approach,2020,Journal of Financial Management of Property and Construction,United Kingdom,Urban,2017,2018,1,Observational,Cross-sectional,3797,all ,all ,transaction,sales,EER,Band,Current,OR,,No,No,No,semi-log,no impact,log price ,"sale price, size, property type, age",Yes,No,No,,,,,,,,,1,GLM,0,-0.000268,proportional odds (ordinal) parameter: the relationship between sales price (one of the predictor) and the odds of being in a higher EPC versus a lower EPC (dependent variable) ,0.391
5,4,"Bottero et al., 2017",Buildings energy performance and real estate market value: An application of the spatial auto regressive (SAR) model,2017,Appraisal: From Theory to Practice,Italy,Urban,not mentioned,not mentioned,0.5,Observational,Cross-sectional,500,all ,all ,listing,sales,EER,Band,Current,SAR,,Yes,Yes,No,linear,positive,price,"size, floor, residential unit address (latitude, longitude), spatially lagged variable",Yes,No,No,,,,,,,,,1,Ordinal EER and linear,1,6280.49,"EPC is an ordinal attribute: A=1; B=2, ??G=7",0.829
6,5,"Stenvall et al., 2022",Does energy efficiency matter for prices of tenant-owned apartments?,2022,Environmental Science and Pollution Research,Sweden,Regional,2019,2020,1,Observational,Cross-sectional,21696,apartment,private,transaction,sales,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,positive (low premium),log price ,"size, age, number of rooms, rent, postcode, sale month",Yes,No,No,,0.007,0.007,hold-out,hold-out,hold-out,hold-out,hold-out,0,,1,A/B vs C/D/E/F/G,,0.943
7,6,"Fuerst et al., 2015",Does energy efficiency matter to home-buyers? An investigation of EPC ratings and transaction prices in England,2015,Energy Economics,United Kingdom,National,1995,2012,17,Observational,Cross-sectional,333095,all ,all ,transaction,sales,EER,Band - both for study-wise,Current,OLS,,Yes,No,Yes,semi-log,positive,log price per m2,"property type, age, number of bedrooms, deprivation index score, urban-rural index score, postcode area, sale quarter",Yes,Yes,No,,0.05,0.05,0.018,hold-out,-0.007,-0.009,-0.068,0,,0,,include pre-label data and assign the later available EPC to the pre-label records,0.693
8,6,"Fuerst et al., 2015",Does energy efficiency matter to home-buyers? An investigation of EPC ratings and transaction prices in England,2015,Energy Economics,United Kingdom,National,1995,2012,17,Observational,Longitudinal - same subsample; price change; pre and post-label data,333004,all ,all ,transaction,sales,EER,Band,Current,OLS,,No,No,Yes,linear,positive,price change per m2,"property type, age, number of bedrooms, deprivation index score, urban-rural index score, regional price index, sale quarter",Yes,Yes,No,,-0.015,-0.015,0.013,hold-out,-0.018,-0.026,-0.001,1,Longitudinal: price change as dependent variable,0,,use price change as dependent variable; include pre-label data and assign the later available EPC to the pre-label records,0.788
9,7,"Wahlstrom, 2016",Doing good but not that well? A dilemma for energy conserving homeowners,2016,Energy Economics,Sweden,National,2009,2010,2,Observational,Cross-sectional,69698,house,all ,transaction,sales,EER,Energy consumption,Current,OLS,,Yes,No,Yes,log-log,no impact,log price,"age, direct consumer satisfaction (including neighborhood attributes), indoor climate comfort (including local climate), seller's yearly consumption of energy ",Yes,Yes,No,,,,,,,,,1,Energy consumption and log-log,1,9.6,use log energy consumption (kWh/a) as energy proxy,0.729
10,8,"Chegut et al., 2016",Energy efficiency and economic value in affordable housing,2016,Energy Policy,Netherlands,National,2008,2013,5.5,Observational,Cross-sectional,11411,all ,social,transaction,sales,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,positive,log price per m2,"size (log), property type, age, number of rooms, number of stories, other building characteristics (basement, attic, garden, parking, monument, ground lease, partial lot), thermal and quality characteristics, transaction characteristics, location, year-quarter ",Yes,No,Yes,,0.063,0.02,hold-out,-0.007,-0.016,-0.017,-0.013,0,,0,,,0.9
11,9,"von Platten et al., 2022",Energy efficiency at what cost? Unjust burden-sharing of rent increases in extensive energy retrofitting projects in Sweden,2022,Energy Research and Social Science,Sweden,National,2013,2019,2,Observational,Longitudinal - same subsample; rent increase; energy efficiency improvement,32150,apartment,all ,listing,rents,EER,Band,Current,ANOVA,,No,No,No,linear,depends,rent increase per square meter and year (%),"renovation investment (light: <20% of construction cost; extensive), aggregate variables to group (e.g. initial EPC rating, construction period - according to building codes), residents' income, classification of municipalities",Yes,Yes,No,,,,,,,,,1,EP imrpvement and rent increase,1,Large EP improvement - No/small EP improvement: (1) no renovation: 1.0%; (2) light renovation: -1.8%; (3) extensive renovation: 6.1%,ANOVA (analysis of variance),
