L1_Eligibility ,Decision,Notes,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
1,not sure,epc?,JIV6HCW5,journalArticle,2021,"Aroula, Ramya R; Hansza, J Andrew; Yang, Jinsuk","""Fix it with Green:"" The Valuation Impact of Green Retrofits on Residential Transaction Price",Journal of Housing Research,,10527001,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/2605304020?accountid=14540&bdid=29235&_bd=5ji9OjihxZFnOW8j109tqRaXKgs%3D,"There is a modest amount of research on the valuation impact of green housing features, but research on renovations or remodeling, which include green features called ""green retrofits,"" cannot be found. The analysis in this paper uses consistent controls and methods to investigate the valuation implication of green retrofits on residential transaction prices. We find that renovated properties in the sample of residential transaction prices are sold at price levels 5.8% higher on average than properties that are not renovated, all else equal. However, green retrofits sell for 9.9% higher on average than non-renovated properties, and green retrofits sell for about 12.7% higher on average than non-green renovated properties. It appears that investment in residential green building features is capitalized in housing prices. We find that green retrofitted properties spend fewer days on the market compared to other transactions.",2021,18/03/2023 17:45,18/03/2023 17:45,,142-162,,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,out of scope - house price indices,,SDCQ94KQ,journalArticle,2023,"Reusens, P.; Vastmans, F.; Damen, S.",A new framework to disentangle the impact of changes in dwelling characteristics on house price indices,Economic Modelling,,,10.1016/j.econmod.2023.106252,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152136220&doi=10.1016%2fj.econmod.2023.106252&partnerID=40&md5=525306774ac85f24633150e77d8db5f7,"While house price indices aim to measure the change in price of an identical dwelling over time, many are unable to sufficiently control for changes in the quality of the houses sold. This change in quality is a known, but rarely measured, factor. Our paper proposes a new framework to disentangle and quantify the contribution of each individual dwelling characteristic to the quality change. It can be applied to many frequently used hedonic house price indices and allows for non-linear, time-varying price premia for the various dwelling characteristics. Using data from Belgium for 2011 Q3 - 2021 Q2, we found that the quality of the houses sold increased substantially, mostly due to improvements in energy efficiency. As energy performance will continue to improve to meet European climate goals, statistical agencies should incorporate it into the construction of their house price indices in order to avoid overestimating price growth. © 2023 Elsevier B.V.",2023,02/05/2024 10:51,02/05/2024 14:38,,,,,123,,,,,,,,,,,,,Scopus,,,,,,,,Energy efficiency; Housing market; Climate; Housing Supply and Markets R31; Global Warming Q54; Natural Disasters and Their Management; Construction L74; Hedonic regression; House price index; Quality adjustment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,AYST9EU6,journalArticle,2020,"McCord, M.; Lo, D.; Davis, P.T.; Hemphill, L.; McCord, J.; Haran, M.",A spatial analysis of EPCs in The Belfast Metropolitan Area housing market,Journal of Property Research,,,10.1080/09599916.2019.1697345,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075930814&doi=10.1080%2f09599916.2019.1697345&partnerID=40&md5=f29ba4db4b1570e92abfc676991a7ff7,,2020,18/03/2023 17:44,18/03/2023 17:46,,25-61,,1,37,,,,,,,,,,,,,Scopus,,,,,,,,Belfast (Northern Ireland); energy performance; Geographic spatial analysis; GWR; Home prices; house prices; Housing market; Metropolitan areas; spatial econometrics; spatial lag model; Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,BEIDF3CB,book,2020,"Morano, P.; Rosato, P.; Tajani, F.; Di Liddo, F.",An analysis of the energy efficiency impacts on the residential property prices in the city of Bari (Italy),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070558796&doi=10.1007%2f978-3-030-23786-8_5&partnerID=40&md5=d92b4ffb04ac44a8f139090313c95b64,,2020,18/03/2023 17:44,18/03/2023 17:44,,,73,,,,,,Green Energy and Technology,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,not epc?,DGTY94M4,journalArticle,2020,"Foryś, I.; Putek-Szeląg, E.; Ziembicka, B.",An attempt to determine the impact of energy intensity on the market value of residential units on the example of selected buildings in Szczecin,Real Estate Management and Valuation,,,10.2478/remav-2020-0006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094681162&doi=10.2478%2fremav-2020-0006&partnerID=40&md5=cd87499f9bf4a97b8674e9952d45253f,,2020,18/03/2023 17:44,18/03/2023 17:46,,64-79,,1,28,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,KCQZCDGT,journalArticle,2020,"McCord, M.; Davis, P.; McCord, J.; Haran, M.; Davison, K.",An exploratory investigation into the relationship between energy performance certificates and sales price: a polytomous universal model approach,Journal of Financial Management of Property and Construction,,,10.1108/JFMPC-08-2019-0068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084860008&doi=10.1108%2fJFMPC-08-2019-0068&partnerID=40&md5=6bd82164ed771366c49de910b2bea224,,2020,18/03/2023 17:44,18/03/2023 17:47,,247-271,,2,25,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,office buliding,,EEIMWTUJ,journalArticle,2023,"Ghosh, Chinmoy; Petrova, Milena T.","Building Sustainability, Certification, and Price Premiums: Evidence from Europe",JOURNAL OF REAL ESTATE RESEARCH,,0896-5803,10.1080/08965803.2023.2267717,,"We examine how green certification impacts cashflows and transaction prices in the Western European office markets of France, Germany, Italy, the Netherlands, Spain, and the United Kingdom. We address sample selection bias by setting up a balanced panel matching sustainable-certified with noncertified buildings using various matching approaches. We find a statistically significant green building premium for properties in our sample. For certified properties, operating income and transaction prices are higher by approximately 12% and 10%, respectively. This premium is robust by country and higher for platinum- and gold-certified properties. Moreover, our examination at the market level indicates that the observed premium is not driven solely by markets with a limited supply of sustainable buildings. Additionally, the premium does not show a declining trend over time, but rather responds to market conditions. Notably, substantial heterogeneity in both cashflow and price premiums exists across countries and markets.",14/10/2023,02/05/2024 10:52,02/05/2024 10:52,17/12/2023,,,,,,,,,,,,,,,,,,WOS:001110767600001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,XLJFLES9,conferencePaper,2017,"Bottero, M; Bravi, M; Mondini, G; Talarico, A",Buildings Energy Performance and Real Estate Market Value: An Application of the Spatial Auto Regressive (SAR) Model,,1865-3529,,10.1007/978-3-319-49676-4_16,,"This work explores the role of the buildings energy performance in defining the real estate market value, taking in consideration the presence of spatial autocorrelation. At this regard, it is necessary to put in evidence that a great heterogeneity exists on the Italian territory with reference to buildings energy performance; for this reason, being able to identify a class of most performing estimation models, suitable to separate the spatial effects from the influence of the building components -including the energy rating-on the value, seems to be an interesting goal. In particular, this work illustrates an experiment based on the Spatial Auto Regressive (SAR) model implemented on a sample of residential units located in the city of Turin and represents a first step of a more wide research program.",2017,18/03/2023 17:45,18/03/2023 17:45,,221-230,,,,,,,,,,,,,,,,,WOS:000413289600016,,,,,,,,,"Stanghellini, S; Morano, P; Bottero, M; Oppio, A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APPRAISAL: FROM THEORY TO PRACTICE,,,,,,,,,,,,,,,
1,not sure,,95FA6N6K,journalArticle,2017,"De Ruggiero, M.; Forestiero, G.; Manganelli, B.; Salvo, F.",Buildings energy performance in a market comparison approach,Buildings,,,10.3390/buildings7010016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014109334&doi=10.3390%2fbuildings7010016&partnerID=40&md5=e2bfe32ce95f33a4ce7d2831325f3f1a,,2017,18/03/2023 17:44,18/03/2023 17:47,,,,1,7,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,review ,RVYLPMLP,journalArticle,2021,"Fregonara, E.; Irene, I.","Buildings' energy performance, green attributes and real estate prices: methodological perspectives from the European literature",Aestimum,,,10.36253/aestim-10785,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129117383&doi=10.36253%2faestim-10785&partnerID=40&md5=a95d3ff93c625d2d468dd2c5850ee514,,2021,18/03/2023 17:44,18/03/2023 17:48,,43-73,,,79,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,poor research design?,HJS6CY7X,book,2020,"Burneau, L.; Michel, P.; Vinot, B.",Building-scaled renovation: A bim-centered system dynamics modeling approach,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098001478&doi=10.1007%2f978-3-030-17308-1_5&partnerID=40&md5=d9c445c2b479a1d9437f0fb3affa977e,,2020,18/03/2023 17:44,18/03/2023 17:44,,,53,,,,,,"Advances in Science, Technology and Innovation",,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,carbon market,WBVQNL7L,journalArticle,2010,"Binkley, Aaron G.; Ciochetti, Brian A.",Carbon Markets: A Hidden Value Source for Commercial Real Estate?,Journal of Sustainable Real Estate,,19498276,,https://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=1152868&site=ehost-live,"Real estate is one of the largest contributors to CO2 emissions yet the industry knows very little about this topic. This paper provides a background on carbon markets and their potential role in a proposed strategy for energy efficiency improvements (EEI). It compares the relationship between an investment decision based solely on electricity prices to one that incorporates the monetary benefit associated with carbon offsets. The findings suggest that a regulated carbon 'cap and trade' system could provide additional value to property owners who pursue EEI strategies. Moreover, carbon offset value differs significantly by geographic location and method by which electrical energy is produced. EEI strategies that take into account carbon offset value could significantly reduce the impact that commercial real estate has on the environment.",2010,18/03/2023 17:46,18/03/2023 17:46,,67-90,,1,2,,Journal of Sustainable Real Estate,,,,,,,,,,,EconLit,,EBSCOhost,,,,,,"Biodiversity Conservation; Bioeconomics; Capacity D24; Capital; Capital, Total Factor, and Multifactor Productivity; Cost; Ecological Economics: Ecosystem Services; Energy: Demand and Supply; Industrial Ecology Q57; Nonagricultural and Nonresidential Real Estate Markets R33; Prices Q41; Production; Regional Economic Activity: Growth, Development, Environmental Issues, and Changes R11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,DLC8EKBZ,journalArticle,2020,"Wilkinson, S.J.; Sayce, S.",Decarbonising real estate: The evolving relationship between energy efficiency and housing in Europe,Journal of European Real Estate Research,,,10.1108/JERER-11-2019-0045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083068669&doi=10.1108%2fJERER-11-2019-0045&partnerID=40&md5=ff97eb97fe3b229d2df0c4c42967b210,,2020,18/03/2023 17:44,18/03/2023 17:49,,387-408,,3,13,,,,,,,,,,,,,Scopus,,,,,,,,Climate; Energy: Demand and Supply; Global Warming Q54; Housing Supply and Markets R31; Natural Disasters and Their Management; Prices Q41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,might be wider lit,24W2HUTF,journalArticle,2016,"Dunphy, N.; Boo, E.; Dallamaggiore, E.; Morrissey, J.",Developing a sustainable housing marketplace: New business models to optimize value generation from retrofit,International Journal for Housing Science and Its Applications,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982965852&partnerID=40&md5=0bf20dd7c90270d67946cb875a1e4c38,,2016,18/03/2023 17:44,18/03/2023 17:44,,211-221,,3,40,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,heating technology and house price,GVK66K47,journalArticle,2018,"Hahn, J.; Hirsch, J.; Bienert, S.",Does “clean” pay off? Housing markets and their perception of heating technology,Property Management,,,10.1108/PM-08-2017-0051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053031614&doi=10.1108%2fPM-08-2017-0051&partnerID=40&md5=8ac55a5e7bb3595f8d9c5426eb9964f6,,2018,18/03/2023 17:44,18/03/2023 17:49,,575-596,,5,36,,,,,,,,,,,,,Scopus,,,,,,,,Energy efficiency; Heating technology; Housing; Housing markets; Property prices; Real estate business; Rents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,9QL63EM2,journalArticle,2022,"Stenvall, D.; Cerin, P.; Sjö, B.; Salah Uddin, G.",Does energy efficiency matter for prices of tenant-owned apartments?,Environmental Science and Pollution Research,,,10.1007/s11356-022-20482-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129639606&doi=10.1007%2fs11356-022-20482-w&partnerID=40&md5=88c1578c62763ca2fb975c49e5686476,,2022,18/03/2023 17:44,18/03/2023 17:49,,66793-66807,,44,29,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
