Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
T3MVX9YR,journalArticle,2022,"Koengkan, M.; Fuinhas, J.A.",Heterogeneous Effect of “Eco-Friendly” Dwellings on Transaction Prices in Real Estate Market in Portugal,Energies,,,10.3390/en15186784,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138822948&doi=10.3390%2fen15186784&partnerID=40&md5=27c9349c5f514e9d557a0df85f32173d,,2022,18/03/2023 17:44,18/03/2023 17:53,,,,18,15,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7UUU8VX9,journalArticle,2021,"Chi, B.; Dennett, A.; Oléron-Evans, T.; Morphet, R.",Shedding new light on residential property price variation in England: A multi-scale exploration,Environment and Planning B: Urban Analytics and City Science,,,10.1177/2399808320951212,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090202117&doi=10.1177%2f2399808320951212&partnerID=40&md5=7ff9326addb9705f6ebc01740181fbfa,,2021,18/03/2023 17:44,18/03/2023 18:00,,1895-1911,,7,48,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822R8QXG,journalArticle,2021,"Vimpari, J.",Should energy efficiency subsidies be tied into housing prices?,Environmental Research Letters,,,10.1088/1748-9326/abfeee,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107742847&doi=10.1088%2f1748-9326%2fabfeee&partnerID=40&md5=5e98f931dafe7c64c2da21f970391a89,,2021,18/03/2023 17:44,18/03/2023 18:00,,,,6,16,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3HDPSVLF,journalArticle,2019,"Wilhelmsson, M.",Energy performance certificates and its capitalization in housing values in Sweden,Sustainability (Switzerland),,,10.3390/su11216101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074839206&doi=10.3390%2fsu11216101&partnerID=40&md5=192c8021bb9a1c0e93c2e4f68fef77d6,,2019,18/03/2023 17:44,18/03/2023 17:51,,,,21,11,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3HSG6M7,journalArticle,1996,"Mathews, E.H.; Van Wyk, S.L.",Energy efficiency of formal low-cost housing in South Africa's Gauteng region,Energy and Buildings,,,10.1016/0378-7788(96)82432-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030197349&doi=10.1016%2f0378-7788%2896%2982432-7&partnerID=40&md5=90d50b0142fd0a349bdec6c47b727dfb,,1996,18/03/2023 17:44,18/03/2023 17:51,,117-123,,2,24,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z5PDXDPW,journalArticle,2019,"Trebilcock-Kelly, M.; Saelzer-Fica, G.; Bobadilla-Moreno, A.",An integrated design process of low-cost housing in Chile,Journal of Green Building,,,10.3992/1943-4618.14.3.81,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071298618&doi=10.3992%2f1943-4618.14.3.81&partnerID=40&md5=dc19bdd83b0ce3b91f500408610bf390,,2019,18/03/2023 17:44,18/03/2023 17:47,,81-93,,3,14,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5INM7UG7,journalArticle,2019,"Cespedes-Lopez, M.-F.; Mora-Garcia, R.-T.; Perez-Sanchez, V.R.; Perez-Sanchez, J.-C.",Meta-analysis of price premiums in housing with energy performance certificates (EPC),Sustainability (Switzerland),,,10.3390/su11226303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075876748&doi=10.3390%2fsu11226303&partnerID=40&md5=2c9e047cea4d122710f8899bcf9e8daa,,2019,18/03/2023 17:44,18/03/2023 17:55,,,,22,11,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7BD6K7IL,journalArticle,2015,"Zhang, F.",Energy price reform and household welfare: The case of Turkey,Energy Journal,,,10.5547/01956574.36.2.4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925305339&doi=10.5547%2f01956574.36.2.4&partnerID=40&md5=84dc49673f10acce10478e83e45f06d6,,2015,18/03/2023 17:44,18/03/2023 17:51,,71-95,,2,36,,,,,,,,,,,,,Scopus,,,,,,,,Energy; Consumer Economics: Empirical Analysis D12; Energy: Demand and Supply; Prices Q41; Energy: Government Policy Q48; Electric Utilities L94; Industry Studies: Utilities and Transportation: Government Policy L98; Economic Development: Agriculture; Environment; Natural Resources; Other Primary Products O13; Microeconomic Analyses of Economic Development O12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6C67MABA,journalArticle,2020,"Brotman, B.A.",Green federal tax credits impact on US housing prices,International Journal of Housing Markets and Analysis,,,10.1108/IJHMA-10-2019-0104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078996156&doi=10.1108%2fIJHMA-10-2019-0104&partnerID=40&md5=7e0758cbe0158536b119ddb77670f8b4,,2020,18/03/2023 17:44,18/03/2023 17:53,,553-564,,4,13,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYIQCB3,journalArticle,2018,"Fuerst, F.; Warren-Myers, G.",Does voluntary disclosure create a green lemon problem? Energy-efficiency ratings and house prices,Energy Economics,,,10.1016/j.eneco.2018.04.041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048504869&doi=10.1016%2fj.eneco.2018.04.041&partnerID=40&md5=b670e92e0c5db1d26bb9d4a83a09869e,,2018,18/03/2023 17:44,18/03/2023 17:49,,01-Dec,,,74,,,,,,,,,,,,,Scopus,,,,,,,,Housing markets; Hedonic pricing; Home prices; Energy consumption; Energy economics; Residential energy conservation; Energy efficiency ratings; Home energy use; Information asymmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
